beam_angle_deg,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible,planning_depth_bias_m
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748714,0.6562046647306382,99.16666666666667,0.007684744332857689,0.5361896910035284,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,59,6656.486502297001,0.6571146162399114,100.0,0.12672119973036985,0.5366228390048491,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,6,90.0,59,6656.5778427912,0.655751430384579,100.0,0.1285949962071297,0.536768979000044,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,7,90.0,59,6656.6130217998125,0.6552264110340111,99.16666666666667,0.010865618508658546,0.5364700899954187,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,8,90.0,59,6656.570548383389,0.6558602937494886,99.16666666666667,0.11610392836292133,0.5368538969923975,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,9,90.0,59,6656.531270035214,0.6564464925556371,99.16666666666667,0.19888171260447932,0.5354307660018094,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,10,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5359388899960322,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,11,90.0,59,6656.60501858916,0.6553458527302096,99.16666666666667,0.020773690686440117,0.5368120030034333,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,12,90.0,59,6656.612269000872,0.655237645972863,99.16666666666667,0.1539267079611943,0.5353416980069596,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,13,90.0,59,6656.600344672867,0.6554156072967354,100.0,0.18360107655312105,0.5361197000020184,1,150.0
