coverage_penalty_weight,overlap_penalty_weight,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.03512304200557992,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.5839570419921074,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.31054216701886617,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3025752080138773,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.30890200001886114,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.30477937500108965,1
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748718,0.6562046647307321,99.16666666666667,0.007684744332857689,0.3046534589957446,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.05491550001897849,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7321014160115737,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.693105958023807,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.6590190830174834,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,0.6587962080084253,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.167326861087,0.8475245651046723,98.66666666666667,0.0358239719493603,0.6662057080247905,1
80.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.6764982499880716,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.03719862501020543,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.5774713749997318,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3070350000052713,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.2994330830115359,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3069296250178013,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.3048287910060026,1
80.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.610800158118,0.6552595673090572,99.16666666666667,0.2061042833699115,0.30410904198652133,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.05099554097978398,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,0,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.7385049170115963,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,0,0.0,116,15038.151353299834,0.847629884995405,99.33333333333333,0.017754944001838673,0.6547025829786435,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,1,0.0,116,15038.127733605384,0.8477856188107566,98.66666666666667,0.15191273683398185,0.6384107079938985,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,2,0.0,116,15038.186461415387,0.8473984035595832,98.66666666666667,0.12063838321477975,0.6850275839969981,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,3,0.0,116,15038.087328132076,0.848052027782843,98.66666666666667,0.13658666227703686,0.7047542909858748,1
160.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,4,0.0,116,15038.223860078393,0.8471518196551509,99.33333333333333,0.0,0.8148719170130789,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,0.0,99.33333333333333,0.8148148148148147,0.06011900000157766,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,0.6551222668214232,100.0,0.0,0.6112244589894544,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.465714154231,0.6574248631073635,99.16666666666667,0.33204071100950805,0.3511478340078611,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.479627423728,0.6572172183782039,99.16666666666667,0.163107150959513,0.31974083301611245,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.399248285274,0.6584168145218969,99.16666666666667,0.20972741100010953,0.33172958399518393,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.491230719593,0.6570440482094092,99.16666666666667,0.20414804533443287,0.39399033298832364,1
160.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.495436259345,0.6569812837985644,99.16666666666667,0.04933670074740942,0.474038666987326,1
160.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,0,0.0,117,15166.70891059631,0.0,100.0,0.7985185185185184,0.11602929199580103,1
